نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
ضخود7073,اختيارخ خودرو-1600-1400/07/07,4,175,129004000,676,769,749,73.00,10.80,737,61.00,9.02,721,750
ضذوب900,اختيارخ ذوب-2500-14000917,4,52,109700000,2700,2000,2250,-450.00,-16.67,2110,-590.00,-21.85,2000,2250
ثروت,ص.خ.ثروت آفرين فيروزه 35%تاديه,4,4000,1085891000,284295,260061,305790,"21,495.00",7.56,271473,"-12,822.00",-4.51,260010,305790
ضترا8057,اختيارخ شتران-6800-1400/08/09,4,35,203600000,3800,5960,4900,"1,100.00",28.95,5817,"2,017.00",53.08,4900,5960
زير0103پ01,زيره سبز0103كيميابذر(پ),3,17,13566000,820000,798000,798000,"-22,000.00",-2.68,798000,"-22,000.00",-2.68,798000,798000
ضبدر8077,اختيارخ شبندر-4302-1400/08/30,3,90,969588000,2324,2300,2300,-24.00,-1.03,2300,-24.00,-1.03,2300,2300
فراز2,صندوق س.سهام فراز داريك-س,3,2500000,2500000,14092,1,1,"-14,091.00",-99.99,1,"-14,091.00",-99.99,1,1
آسام2,صندوق س.آرمان سپهر آشنا-م,3,300000,300000,130326,1,1,"-130,325.00",-100.00,1,"-130,325.00",-100.00,1,1
هنوري102,اختيارف ت نوري59561-01/02/15,3,31000,31000,1,1,1,0,0,1,0,0,1,1
شسم,توليد سموم‌ علف‌ كش,3,1099,110667102,98724,100698,100698,"1,974.00",2.00,98767,43.00,0.04,100698,100698
ضشنا8002,اختيارخ شپنا-7800-1400/08/16,3,24,156000000,7800,6500,6500,"-1,300.00",-16.67,6500,"-1,300.00",-16.67,6500,6500
صپا ه 25,بار پايه هفته 25صنعتي,3,21300,15549000,750,730,730,-20.00,-2.67,730,-20.00,-2.67,730,730
صگل039,صكوك اجاره گل گهر039-3ماهه20%,3,90,92485000,1000000,1050000,999000,"-1,000.00",-0.10,1027611,"27,611.00",2.76,999000,1050000
