,,,,,,,,,,,,,,
دیده بان بازار : 1400/6/16,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
بتك,كارخانجات كابل سازي‌ تك‌,1,500,17830000,34289,35660,35660,"1,371.00",4.00,34304,15.00,0.04,35660,35660
اراد834,مرابحه عام دولت83-ش.خ041220,1,7000000,6.42167E+12,1000000,917382,917382,"-82,618.00",-8.26,917382,"-82,618.00",-8.26,917382,917382
پاسار042,اجاره انرژي پاسارگاد14040302,1,50000,50000000000,999999,1000000,1000000,1.00,0,1000000,1.00,0,1000000,1000000
شپاكسا2,پاكسان‌,1,8700000,2.04711E+11,23870,23530,23530,-340.00,-1.42,23530,-340.00,-1.42,23530,23530
وغدير2,سرمايه‌گذاري‌غدير(هلدينگ‌,1,30667141,4.55407E+11,15440,14850,14850,-590.00,-3.82,14850,-590.00,-3.82,14850,14850
افاد42,منفعت دولتي4-شرايط خاص14010729,1,98,95109000,970000,970500,970500,500.00,0.05,970500,500.00,0.05,970500,970500
صگل039,صكوك اجاره گل گهر039-3ماهه20%,1,5,4995000,1005143,999000,999000,"-6,143.00",-0.61,999000,"-6,143.00",-0.61,999000,999000
ضپاس7031,اختيارخ وپارس-3500-1400/07/28,1,2,100000,41,50,50,9.00,21.95,50,9.00,21.95,50,50
مصفها112,مشاركت ش اصفهان112-3ماهه18%,1,700,670600000,958000,958000,958000,0,0,958000,0,0,958000,958000
اراد874,مرابحه عام دولت87-ش.خ030304,1,2158000,2.00003E+12,926020,926800,926800,780.00,0.08,926800,780.00,0.08,926800,926800
مبين014,اجاره اعتماد مبين لوتوس011019,1,5000,4855000000,970548,971000,971000,452.00,0.05,971000,452.00,0.05,971000,971000
اخزا7212,اسنادخزانه-م21بودجه97-000728,1,520000,5.0778E+11,976308,976500,976500,192.00,0.02,976500,192.00,0.02,976500,976500
اراد214,مرابحه عام دولت2ش.خ صادرات0212,1,4900000,4.66361E+12,1000000,951757,951757,"-48,243.00",-4.82,951757,"-48,243.00",-4.82,951757,951757
صيدك404,صكوك مرابحه صيدك404-3ماهه18%,1,2,1888600,935000,944300,944300,"9,300.00",0.99,944300,"9,300.00",0.99,944300,944300
ضبدر8080,اختيارخ شبندر-6865-1400/08/30,1,1,4684000,1200,1000,1000,-200.00,-16.67,1000,-200.00,-16.67,1000,1000
